ticker,date,open,high,low,close
AMZN,1997-05-15,0.12,0.12,0.1,0.1
AMZN,1997-05-16,0.0985,0.099,0.0855,0.0865
AMZN,1997-05-19,0.088,0.0885,0.081,0.0855
AMZN,1997-05-20,0.0865,0.0875,0.082,0.082
AMZN,1997-05-21,0.082,0.0825,0.069,0.0715
AMZN,1997-05-22,0.072,0.0725,0.0655,0.07
AMZN,1997-05-23,0.0705,0.076,0.0665,0.075
AMZN,1997-05-27,0.0755,0.0825,0.073,0.079
AMZN,1997-05-28,0.081,0.082,0.0765,0.0765
AMZN,1997-05-29,0.077,0.077,0.074,0.0755
AMZN,1997-05-30,0.075,0.0755,0.074,0.075
AMZN,1997-06-02,0.0755,0.0765,0.075,0.0755
AMZN,1997-06-03,0.0765,0.0765,0.074,0.074
AMZN,1997-06-04,0.074,0.0745,0.07,0.071
AMZN,1997-06-05,0.071,0.077,0.069,0.077
AMZN,1997-06-06,0.076,0.0855,0.0755,0.083
AMZN,1997-06-09,0.083,0.0855,0.083,0.0845
AMZN,1997-06-10,0.0855,0.0855,0.0765,0.079
AMZN,1997-06-11,0.0795,0.08,0.0765,0.077
AMZN,1997-06-12,0.079,0.0825,0.0775,0.08
AMZN,1997-06-13,0.081,0.081,0.079,0.079
AMZN,1997-06-16,0.08,0.08,0.078,0.0785
AMZN,1997-06-17,0.08,0.08,0.0745,0.0755
AMZN,1997-06-18,0.076,0.077,0.075,0.0755
AMZN,1997-06-19,0.0755,0.0765,0.075,0.0755
AMZN,1997-06-20,0.0765,0.0775,0.075,0.0765
AMZN,1997-06-23,0.077,0.077,0.074,0.075
AMZN,1997-06-24,0.0755,0.0765,0.074,0.0755
AMZN,1997-06-25,0.0765,0.0765,0.0745,0.0755
AMZN,1997-06-26,0.076,0.076,0.0755,0.0755
AMZN,1997-06-27,0.076,0.076,0.074,0.0745
AMZN,1997-06-30,0.0755,0.08,0.074,0.077
AMZN,1997-07-01,0.077,0.077,0.0755,0.076
AMZN,1997-07-02,0.076,0.0795,0.0755,0.0795
AMZN,1997-07-03,0.08,0.096,0.0795,0.0955
AMZN,1997-07-07,0.0915,0.101,0.0915,0.1
AMZN,1997-07-08,0.102,0.1165,0.102,0.115
AMZN,1997-07-09,0.115,0.1195,0.1135,0.116
AMZN,1997-07-10,0.1165,0.1285,0.1165,0.128
AMZN,1997-07-11,0.126,0.126,0.1105,0.1145
AMZN,1997-07-14,0.116,0.1165,0.1055,0.107
AMZN,1997-07-15,0.107,0.124,0.107,0.122
AMZN,1997-07-16,0.1225,0.1245,0.115,0.1165
AMZN,1997-07-17,0.117,0.117,0.108,0.111
AMZN,1997-07-18,0.1095,0.111,0.108,0.108
AMZN,1997-07-21,0.109,0.11,0.1075,0.109
AMZN,1997-07-22,0.1085,0.1095,0.103,0.107
AMZN,1997-07-23,0.1095,0.1165,0.109,0.1145
AMZN,1997-07-24,0.115,0.1155,0.111,0.113
AMZN,1997-07-25,0.111,0.1125,0.111,0.1115
AMZN,1997-07-28,0.1115,0.12,0.111,0.116
AMZN,1997-07-29,0.118,0.125,0.1165,0.124
AMZN,1997-07-30,0.125,0.1255,0.1215,0.1225
AMZN,1997-07-31,0.122,0.122,0.1165,0.12
AMZN,1997-08-01,0.117,0.121,0.1125,0.121
AMZN,1997-08-04,0.119,0.1205,0.115,0.1155
AMZN,1997-08-05,0.1165,0.1165,0.1075,0.1105
AMZN,1997-08-06,0.1105,0.1155,0.1095,0.1125
AMZN,1997-08-07,0.1125,0.113,0.106,0.109
AMZN,1997-08-08,0.1085,0.115,0.105,0.1145
AMZN,1997-08-11,0.1145,0.1165,0.1125,0.1165
AMZN,1997-08-12,0.114,0.115,0.11,0.11
AMZN,1997-08-13,0.1115,0.1115,0.1085,0.11
AMZN,1997-08-14,0.109,0.1125,0.106,0.108
AMZN,1997-08-15,0.107,0.108,0.097,0.1055
AMZN,1997-08-18,0.1025,0.1025,0.0985,0.102
AMZN,1997-08-19,0.1045,0.1105,0.1025,0.1085
AMZN,1997-08-20,0.1095,0.1095,0.1035,0.1085
AMZN,1997-08-21,0.107,0.1085,0.1035,0.1055
AMZN,1997-08-22,0.105,0.106,0.1045,0.106
AMZN,1997-08-25,0.105,0.113,0.105,0.111
AMZN,1997-08-26,0.112,0.1175,0.1115,0.117
AMZN,1997-08-27,0.1155,0.116,0.1125,0.116
AMZN,1997-08-28,0.115,0.12,0.114,0.119
AMZN,1997-08-29,0.118,0.119,0.116,0.117
AMZN,1997-09-02,0.117,0.119,0.1165,0.1175
AMZN,1997-09-03,0.117,0.121,0.1155,0.1165
AMZN,1997-09-04,0.118,0.1275,0.117,0.1275
AMZN,1997-09-05,0.129,0.1335,0.123,0.125
AMZN,1997-09-08,0.1265,0.151,0.125,0.15
AMZN,1997-09-09,0.157,0.1695,0.1515,0.162
AMZN,1997-09-10,0.1655,0.1665,0.156,0.165
AMZN,1997-09-11,0.1665,0.1665,0.152,0.158
AMZN,1997-09-12,0.1595,0.185,0.158,0.1845
AMZN,1997-09-15,0.1835,0.184,0.1525,0.1545
AMZN,1997-09-16,0.156,0.177,0.156,0.1675
AMZN,1997-09-17,0.173,0.175,0.1665,0.1705
AMZN,1997-09-18,0.172,0.1735,0.164,0.1645
AMZN,1997-09-19,0.169,0.204,0.169,0.1975
AMZN,1997-09-22,0.2,0.234,0.1975,0.225
AMZN,1997-09-23,0.2245,0.2325,0.22,0.231
AMZN,1997-09-24,0.2325,0.2405,0.2145,0.219
AMZN,1997-09-25,0.217,0.2175,0.2025,0.204
AMZN,1997-09-26,0.2035,0.213,0.2025,0.2085
AMZN,1997-09-29,0.2075,0.2095,0.198,0.202
AMZN,1997-09-30,0.2,0.2175,0.19,0.217
AMZN,1997-10-01,0.222,0.225,0.197,0.201
AMZN,1997-10-02,0.202,0.209,0.1995,0.2005
AMZN,1997-10-03,0.204,0.206,0.199,0.201
AMZN,1997-10-06,0.2,0.206,0.197,0.206
AMZN,1997-10-07,0.204,0.2095,0.202,0.203
AMZN,1997-10-08,0.2075,0.2085,0.199,0.2005
AMZN,1997-10-09,0.2,0.201,0.187,0.1875
AMZN,1997-10-10,0.1865,0.203,0.1835,0.195
AMZN,1997-10-13,0.1965,0.202,0.1965,0.2
AMZN,1997-10-14,0.203,0.205,0.1915,0.199
AMZN,1997-10-15,0.1985,0.1985,0.1885,0.196
AMZN,1997-10-16,0.199,0.199,0.18,0.181
AMZN,1997-10-17,0.1805,0.183,0.176,0.181
AMZN,1997-10-20,0.184,0.194,0.1835,0.191
AMZN,1997-10-21,0.198,0.222,0.1925,0.2215
AMZN,1997-10-22,0.221,0.231,0.219,0.226
AMZN,1997-10-23,0.2115,0.228,0.2095,0.225
AMZN,1997-10-24,0.2375,0.253,0.227,0.2515
AMZN,1997-10-27,0.24,0.2505,0.2115,0.2135
AMZN,1997-10-28,0.196,0.25,0.194,0.2475
AMZN,1997-10-29,0.2575,0.275,0.25,0.2695
AMZN,1997-10-30,0.2605,0.2675,0.252,0.256
AMZN,1997-10-31,0.268,0.273,0.2485,0.254
AMZN,1997-11-03,0.261,0.261,0.2475,0.2535
AMZN,1997-11-04,0.25,0.2525,0.241,0.248
AMZN,1997-11-05,0.249,0.256,0.244,0.244
AMZN,1997-11-06,0.246,0.246,0.232,0.233
AMZN,1997-11-07,0.221,0.232,0.2195,0.224
AMZN,1997-11-10,0.225,0.228,0.2105,0.2105
AMZN,1997-11-11,0.212,0.2155,0.196,0.1975
AMZN,1997-11-12,0.189,0.2095,0.1835,0.1885
AMZN,1997-11-13,0.1975,0.1985,0.1885,0.193
AMZN,1997-11-14,0.197,0.2105,0.189,0.2085
AMZN,1997-11-17,0.2115,0.227,0.211,0.219
AMZN,1997-11-18,0.219,0.224,0.217,0.221
AMZN,1997-11-19,0.2205,0.226,0.2155,0.2255
