ticker,date,open,high,low,close
MRNA,2018-12-07,22.0,22.75,18.51,18.6
MRNA,2018-12-10,18.9,19.4388,18.0,18.8
MRNA,2018-12-11,20.55,20.66,17.99,18.01
MRNA,2018-12-12,18.55,19.48,18.02,18.68
MRNA,2018-12-13,19.25,19.29,18.68,18.76
MRNA,2018-12-14,18.75,18.8806,18.25,18.32
MRNA,2018-12-17,18.33,18.47,16.9,17.0
MRNA,2018-12-18,17.1,17.25,16.25,17.0
MRNA,2018-12-19,16.86,17.37,16.0,16.18
MRNA,2018-12-20,16.0,16.14,14.75,15.5
MRNA,2018-12-21,15.4,15.5,13.95,14.47
MRNA,2018-12-24,14.32,14.32,13.75,14.03
MRNA,2018-12-26,14.15,14.31,13.03,13.52
MRNA,2018-12-27,13.49,14.95,13.27,14.65
MRNA,2018-12-28,14.72,14.85,13.8184,14.15
MRNA,2018-12-31,14.24,15.3,14.2129,15.27
MRNA,2019-01-02,14.93,15.45,14.51,15.33
MRNA,2019-01-03,15.49,16.08,15.2,15.5
MRNA,2019-01-04,16.0,17.5,15.8944,16.96
MRNA,2019-01-07,17.54,17.94,16.18,16.27
MRNA,2019-01-08,17.35,17.468,16.05,16.95
MRNA,2019-01-09,17.2,17.25,16.15,16.33
MRNA,2019-01-10,16.36,16.51,16.0,16.48
MRNA,2019-01-11,16.6,17.06,16.53,17.0
MRNA,2019-01-14,17.0,17.06,16.72,16.74
MRNA,2019-01-15,17.0,17.0,16.41,16.59
MRNA,2019-01-16,16.8,16.95,16.26,16.26
MRNA,2019-01-17,16.05,16.53,16.05,16.31
MRNA,2019-01-18,16.46,16.8,16.25,16.69
MRNA,2019-01-22,16.62,16.6345,15.35,15.56
MRNA,2019-01-23,15.59,15.92,14.76,14.79
MRNA,2019-01-24,14.9,15.195,14.64,14.64
MRNA,2019-01-25,14.8,14.92,14.4,14.91
MRNA,2019-01-28,14.84,14.84,14.45,14.45
MRNA,2019-01-29,14.46,14.875,14.45,14.63
MRNA,2019-01-30,14.72,15.545,14.65,15.13
MRNA,2019-01-31,15.24,17.48,15.24,16.6
MRNA,2019-02-01,16.8,17.0075,15.9,16.22
MRNA,2019-02-04,16.22,16.49,15.95,16.27
MRNA,2019-02-05,16.29,17.49,16.2075,17.18
MRNA,2019-02-06,17.25,18.39,17.1101,18.14
MRNA,2019-02-07,17.95,18.0679,17.04,17.05
MRNA,2019-02-08,17.1,18.15,17.1,17.99
MRNA,2019-02-11,17.99,18.6462,17.7507,18.17
MRNA,2019-02-12,18.21,18.76,17.6,18.69
MRNA,2019-02-13,18.99,19.22,18.3,18.53
MRNA,2019-02-14,18.64,19.96,18.63,19.66
MRNA,2019-02-15,19.94,21.4674,19.7,21.44
MRNA,2019-02-19,21.51,21.513,20.05,20.83
MRNA,2019-02-20,21.12,21.2399,19.13,19.92
